imap_seq_insert_test,,0.23
imbv_seq_insert_test,,0.25
stdu_seq_insert_test,,3.18
stdm_seq_insert_test,,1.62
imap_seq_assign_test,,0.20
imbv_seq_assign_test,,0.21
stdu_seq_assign_test,,0.40
stdm_seq_assign_test,,0.81
imap_seq_lookup_test,,0.17
imbv_seq_lookup_test,,0.15
stdu_seq_lookup_test,,0.34
stdm_seq_lookup_test,,0.81
imap_seq_remove_test,,0.25
imbv_seq_remove_test,,0.26
stdu_seq_remove_test,,1.20
stdm_seq_remove_test,,1.32
imap_rnd_insert_test,,1.03
stdu_rnd_insert_test,,1.81
stdm_rnd_insert_test,,14.10
imap_rnd_assign_test,,1.00
stdu_rnd_assign_test,,0.48
stdm_rnd_assign_test,,14.23
imap_rnd_lookup_test,,0.71
stdu_rnd_lookup_test,,0.40
stdm_rnd_lookup_test,,14.20
imap_rnd_remove_test,,1.06
stdu_rnd_remove_test,,1.18
stdm_rnd_remove_test,,18.63
imap_shortseq_test,,0.40
stdu_shortseq_test,,0.90
stdm_shortseq_test,,1.29
imap_memtrack_test,42666880/67108864,0.23
imbv_memtrack_test,122666880/134217728,0.25
stdu_memtrack_test,588435488,4.18
stdm_memtrack_test,480000048,2.14
