imap_seq_insert_test,,0.21
imbv_seq_insert_test,,0.23
stdu_seq_insert_test,,3.21
stdm_seq_insert_test,,1.65
imap_seq_assign_test,,0.18
imbv_seq_assign_test,,0.20
stdu_seq_assign_test,,0.40
stdm_seq_assign_test,,0.81
imap_seq_lookup_test,,0.17
imbv_seq_lookup_test,,0.15
stdu_seq_lookup_test,,0.34
stdm_seq_lookup_test,,0.83
imap_seq_remove_test,,0.25
imbv_seq_remove_test,,0.28
stdu_seq_remove_test,,1.23
stdm_seq_remove_test,,1.34
imap_rnd_insert_test,,1.07
stdu_rnd_insert_test,,1.84
stdm_rnd_insert_test,,14.17
imap_rnd_assign_test,,1.00
stdu_rnd_assign_test,,0.50
stdm_rnd_assign_test,,14.25
imap_rnd_lookup_test,,0.71
stdu_rnd_lookup_test,,0.40
stdm_rnd_lookup_test,,14.08
imap_rnd_remove_test,,1.04
stdu_rnd_remove_test,,1.18
stdm_rnd_remove_test,,18.59
imap_shortseq_test,,0.40
stdu_shortseq_test,,0.90
stdm_shortseq_test,,1.25
imap_memtrack_test,42666880/67108864,0.21
imbv_memtrack_test,122666880/134217728,0.25
stdu_memtrack_test,588435488,4.15
stdm_memtrack_test,480000048,2.14
